DOS,	Message Count
2019-6-30,	106
2019-7-1,	1557
2019-7-2,	1832
2019-7-3,	2313
2019-7-4,	1596
2019-7-5,	1892
2019-7-6,	347
2019-7-7,	152
2019-7-8,	2036
2019-7-9,	1888
2019-7-10,	1896
2019-7-11,	2291
2019-7-12,	1757
2019-7-13,	368
2019-7-14,	60
2019-7-15,	2229
2019-7-16,	1879
2019-7-17,	2405
2019-7-18,	2076
2019-7-19,	2621
2019-7-20,	266
2019-7-21,	189
2019-7-22,	1717
2019-7-23,	2105
2019-7-24,	2065
2019-7-25,	2098
2019-7-26,	2104
2019-7-27,	288
2019-7-28,	170
2019-7-29,	1874
2019-7-30,	3437
2019-7-31,	3285
2019-8-1,	2444
2019-8-2,	1706
2019-8-3,	208
2019-8-4,	145
2019-8-5,	2141
2019-8-6,	2138
2019-8-7,	2093
2019-8-8,	2446
2019-8-9,	214
2019-8-10,	300
2019-8-11,	227
2019-8-12,	2760
2019-8-13,	2298
2019-8-14,	2568
2019-8-15,	1990
2019-8-16,	2150
2019-8-17,	560
2019-8-18,	178
2019-8-19,	2251
2019-8-20,	1986
2019-8-21,	2910
2019-8-22,	2032
2019-8-23,	2189
2019-8-24,	194
2019-8-25,	159
2019-8-26,	1868
2019-8-27,	2880
2019-8-28,	2447
2019-8-29,	2176
2019-8-30,	2705
2019-8-31,	203
2019-9-1,	92
2019-9-2,	2064
2019-9-3,	1500
2019-9-4,	1792
2019-9-5,	1839
2019-9-6,	1674
2019-9-7,	354
2019-9-8,	273
2019-9-9,	1556
2019-9-10,	3069
2019-9-11,	1873
2019-9-12,	2101
2019-9-13,	1649
2019-9-14,	170
2019-9-15,	75
2019-9-16,	2075
2019-9-17,	2143
2019-9-18,	1742
2019-9-19,	2351
2019-9-20,	2186
2019-9-21,	111
2019-9-22,	89
2019-9-23,	1438
2019-9-24,	385
2019-9-25,	2061
2019-9-26,	2938
2019-9-27,	2094
2019-9-28,	97
2019-9-29,	182
2019-9-30,	1789
2019-10-1,	1856
2019-10-2,	2072
2019-10-3,	2049
2019-10-4,	1720
2019-10-5,	401
2019-10-6,	93
2019-10-7,	2174
2019-10-8,	1600
2019-10-9,	3053
2019-10-10,	1859
2019-10-11,	2012
2019-10-12,	380
2019-10-13,	168
2019-10-14,	2619
2019-10-15,	2075
2019-10-16,	2153
2019-10-17,	1675
2019-10-18,	2020
2019-10-19,	117
2019-10-20,	55
2019-10-21,	2154
2019-10-22,	2129
2019-10-23,	1937
2019-10-24,	1800
2019-10-25,	1454
2019-10-26,	110
2019-10-27,	115
2019-10-28,	2330
2019-10-29,	2122
2019-10-30,	2137
2019-10-31,	1703
2019-11-1,	1677
2019-11-2,	37
